1
100 10000 10000
42 89 142 991
41 20 39 998
92 82 20 997
75 84 41 992
26 24 215 999
74 23 30 990
77 80 144 995
47 16 98 995
35 58 21 993
27 69 138 1000
68 66 34 991
55 100 148 1000
46 49 165 1000
97 19 244 994
8 43 98 998
38 67 235 991
38 67 86 996
99 81 32 995
37 4 106 993
79 91 240 999
98 92 200 1000
9 28 160 998
43 17 16 995
43 17 97 998
57 96 23 998
18 27 56 998
50 72 241 999
27 69 53 996
84 62 229 996
59 5 112 992
39 44 164 992
70 99 101 1000
95 88 110 998
52 22 24 991
39 44 131 990
34 64 132 992
72 48 32 992
55 100 109 998
55 100 217 996
2 34 241 995
2 34 91 999
99 81 28 992
13 29 141 993
90 39 201 991
43 17 17 998
2 34 9 1000
25 7 111 994
46 49 18 996
80 46 154 998
86 85 196 990
12 60 152 993
72 48 175 995
42 89 184 997
19 56 7 996
17 55 19 995
6 31 129 993
57 96 112 991
94 54 7 995
28 53 227 990
40 6 225 991
77 80 31 997
80 46 213 996
88 33 106 994
59 5 177 990
17 55 130 990
78 87 78 992
97 19 74 992
77 80 164 995
41 20 138 996
70 99 29 995
34 64 160 990
9 28 37 999
51 50 208 997
71 52 230 996
30 37 39 997
86 85 233 992
23 21 217 991
91 32 57 990
28 53 179 990
79 91 199 999
12 60 128 990
13 29 45 997
92 82 154 1000
85 47 19 990
17 55 79 997
90 34 139 995
94 54 9 999
53 63 246 998
43 96 53 997
66 77 209 990
25 7 93 996
49 2 212 993
88 33 200 998
83 76 201 997
96 70 95 992
98 92 240 994
72 48 147 993
90 39 139 990
82 51 107 993
41 20 129 994
37 4 140 993
38 67 72 993
40 6 140 997
78 87 163 1000
72 48 106 996
23 21 15 993
67 25 224 994
19 56 229 996
72 48 148 1000
36 94 151 995
11 61 146 993
39 44 118 991
94 54 239 990
27 69 53 997
73 98 242 996
18 27 184 995
3 13 14 998
95 88 9 993
88 33 119 999
16 38 154 997
80 46 248 993
59 5 101 996
57 96 137 996
31 73 105 995
62 8 59 1000
77 47 211 990
97 19 224 995
43 17 113 993
27 69 47 997
79 91 115 999
58 30 34 1000
31 15 244 992
44 95 153 991
79 91 35 999
98 92 175 995
45 14 61 991
39 44 229 997
30 37 229 993
66 77 101 997
68 66 120 999
73 98 243 1000
57 96 24 990
42 89 168 994
84 62 49 1000
95 88 199 997
62 8 226 998
70 99 64 1000
88 33 238 993
40 6 94 993
97 19 95 997
19 56 110 1000
56 36 92 993
33 10 42 992
54 78 173 995
89 83 210 991
5 74 230 998
93 42 133 1000
57 96 128 1000
1 68 130 994
59 5 126 992
18 27 142 992
13 29 218 993
63 93 35 994
55 100 16 996
67 25 52 993
98 92 211 991
76 75 39 997
89 83 3 998
79 91 59 998
17 55 31 997
32 35 158 993
55 100 246 990
80 46 168 990
65 45 128 1000
49 2 161 998
82 51 113 991
5 74 212 995
11 61 139 992
25 7 12 995
49 2 118 999
90 39 191 991
74 23 195 996
82 51 146 992
63 93 203 1000
55 100 35 993
96 70 98 995
60 26 89 990
6 31 102 993
73 98 36 1000
37 4 213 997
73 98 137 997
73 98 220 996
21 40 70 991
52 22 237 997
52 22 182 993
74 23 214 994
2 34 64 990
33 10 146 998
87 57 131 995
70 99 202 994
89 83 221 991
84 62 156 991
31 15 63 998
16 38 128 990
89 83 20 992
28 53 131 996
14 97 121 999
37 4 57 998
36 94 105 993
62 8 5 991
51 50 13 994
26 24 158 999
31 15 173 1000
85 47 68 990
19 56 99 1000
76 75 114 998
49 2 199 993
86 85 180 994
43 17 216 994
68 66 4 991
8 43 106 995
27 69 31 998
87 57 34 1000
9 28 226 997
58 30 56 994
20 96 78 6
98 92 142 990
23 21 44 990
59 5 92 998
39 44 230 991
39 44 186 998
79 91 196 992
60 26 159 992
36 94 100 999
13 29 195 996
12 60 114 993
4 90 33 995
37 4 70 993
94 54 250 993
56 36 93 994
65 45 115 999
19 56 227 996
8 43 191 997
59 5 29 1000
89 83 165 998
70 99 25 998
86 85 6 991
51 50 19 998
88 33 88 991
22 41 69 992
24 9 143 991
21 40 229 992
9 28 184 999
94 54 84 1000
88 33 243 996
3 13 186 991
46 49 210 999
69 12 136 992
59 5 61 990
93 42 57 995
91 32 230 999
37 4 76 992
54 78 121 999
20 3 20 994
12 60 212 997
60 26 168 996
34 64 68 995
44 95 178 990
38 67 173 993
43 17 119 996
44 95 192 992
85 47 105 997
48 11 177 997
94 54 7 992
15 65 61 996
24 9 14 992
75 84 59 998
38 67 139 1000
18 27 17 995
97 19 165 1000
77 80 192 990
38 67 181 993
97 19 62 992
70 99 164 990
10 73 212 998
1 68 238 997
37 4 211 996
21 40 247 991
79 91 28 994
36 94 176 995
6 31 8 1000
83 76 24 998
36 94 62 996
28 53 105 999
19 56 146 996
19 56 232 995
90 39 220 990
97 19 235 999
39 44 31 997
82 51 247 1000
44 95 142 994
17 55 27 995
50 72 84 992
17 55 104 997
12 60 207 992
28 53 68 991
16 38 96 1000
38 67 4 992
33 10 59 992
8 43 164 993
60 26 34 998
34 64 244 1000
4 90 84 996
50 72 70 1000
80 46 79 996
89 83 44 998
94 54 31 998
19 56 161 993
26 24 3 993
92 82 162 1000
71 52 121 999
76 75 232 992
37 4 123 997
50 72 6 990
89 83 33 997
61 71 225 999
18 27 80 1000
43 17 181 1000
42 89 120 1000
51 50 90 991
60 26 72 993
14 97 40 990
59 5 17 995
79 91 76 996
89 83 68 994
87 57 221 999
77 80 178 991
83 76 114 995
41 20 114 992
44 95 139 1000
38 67 183 993
20 3 40 997
28 53 80 998
57 96 49 992
41 20 209 990
77 80 109 1000
6 31 240 996
44 95 77 991
71 52 159 993
49 2 167 999
36 94 136 999
93 42 92 994
46 49 82 993
3 13 227 1000
63 93 169 999
53 63 175 998
79 91 19 992
27 69 147 999
93 42 241 994
17 55 205 995
37 4 16 997
45 14 109 996
3 13 180 998
96 70 197 994
61 71 141 992
68 66 61 998
45 14 222 991
3 13 208 994
71 52 157 996
11 61 71 998
77 80 171 992
50 72 200 991
36 94 10 993
6 26 100 7
20 3 154 992
49 2 75 994
3 13 164 990
2 34 120 1000
85 47 110 994
6 31 159 997
68 66 72 998
39 44 159 992
97 19 204 993
38 67 54 994
76 75 156 1000
4 90 47 998
88 33 218 1000
58 30 229 994
33 10 241 991
22 41 181 992
98 92 77 992
28 53 111 995
69 12 195 999
91 32 239 991
64 18 186 990
74 23 17 999
73 98 162 997
50 72 64 991
74 23 57 994
65 45 94 991
49 2 214 997
75 84 169 993
62 8 42 991
61 71 66 990
88 33 206 995
54 78 232 998
85 47 69 991
97 19 200 993
16 38 80 999
80 46 120 995
27 69 77 1000
59 5 170 995
70 99 62 996
12 60 71 998
52 22 43 996
35 58 15 997
32 35 96 997
64 18 40 997
88 33 40 990
73 98 65 996
47 16 101 991
20 3 195 999
75 84 37 993
87 57 201 998
58 30 205 994
83 76 200 994
14 97 46 996
75 84 238 994
12 60 30 993
3 13 87 994
52 22 185 996
15 65 210 992
10 73 62 995
83 76 225 997
58 30 152 994
98 92 126 990
97 19 243 994
16 38 228 992
45 14 5 991
20 3 5 992
50 72 109 1000
43 17 51 993
15 65 101 995
74 23 92 995
31 15 211 997
45 14 29 991
56 36 191 994
84 62 108 992
18 27 122 992
24 9 155 1000
68 66 102 994
73 98 166 997
31 15 25 990
62 8 145 1000
70 17 88 10
92 82 88 990
28 53 125 992
41 20 127 992
44 95 200 1000
13 29 170 990
46 49 248 996
44 95 187 993
14 97 71 990
63 93 163 994
21 88 102 997
44 95 21 995
53 63 129 990
18 27 115 999
50 72 102 996
23 21 160 995
5 74 142 993
57 96 145 1000
62 8 151 997
28 53 88 995
6 31 23 993
25 7 203 990
89 83 223 991
74 23 235 998
73 98 151 992
98 92 69 990
15 65 85 991
11 61 242 999
92 82 32 994
34 64 104 998
51 50 194 1000
94 54 210 998
16 38 35 999
56 36 222 995
90 39 219 999
13 29 127 991
35 58 65 994
67 25 192 993
73 98 66 991
36 94 154 1000
41 20 60 993
28 53 59 999
75 84 69 997
98 92 135 1000
27 69 231 999
35 58 69 999
17 55 192 991
55 100 166 997
22 41 34 995
34 64 155 992
7 59 235 996
13 29 152 1000
16 38 85 993
31 15 123 991
84 62 105 995
15 65 162 997
47 16 247 993
82 51 23 993
2 34 106 997
88 33 76 997
60 26 126 999
98 92 111 997
87 57 226 999
76 75 67 995
42 48 229 7
86 85 134 998
36 94 172 992
42 89 230 1000
47 16 247 991
46 49 239 997
65 45 110 994
15 65 159 991
48 11 79 993
98 92 189 1000
75 84 232 994
61 71 39 995
43 17 141 999
19 56 167 995
57 41 32 996
86 85 121 991
79 91 235 993
86 85 35 993
62 8 89 990
53 63 147 995
11 36 52 5
23 21 232 993
62 8 82 997
90 39 155 990
95 88 65 993
77 80 226 999
46 49 104 1000
55 100 224 997
32 35 153 992
76 75 165 998
48 11 22 990
42 89 202 993
1 68 88 994
44 95 60 997
1 68 104 993
94 54 226 994
57 96 175 992
36 94 135 1000
73 98 228 993
63 93 134 998
94 54 196 993
72 48 45 992
56 36 160 998
11 61 152 993
64 18 19 995
74 23 21 998
27 69 216 992
79 91 133 990
80 46 106 996
19 56 173 993
64 18 84 993
24 9 13 1000
55 100 213 993
3 13 207 996
33 10 79 1000
91 32 110 998
85 47 5 995
52 22 78 996
91 32 242 999
63 93 59 992
13 29 166 994
94 54 236 1000
13 29 72 998
98 92 168 999
33 10 241 996
86 85 29 993
39 44 215 994
39 44 146 992
13 29 138 998
1 68 66 993
69 12 163 999
92 82 85 990
96 70 176 991
26 24 53 997
77 80 184 994
92 82 97 993
37 4 72 992
60 26 64 994
78 87 214 1000
17 55 87 993
69 12 25 992
8 20 202 4
92 82 24 994
6 31 249 997
75 84 10 999
19 72 140 1000
80 46 7 993
77 80 227 993
98 92 111 993
11 61 197 999
91 32 104 999
66 77 123 999
6 31 68 996
53 63 215 999
13 29 239 995
73 98 190 999
30 37 199 997
14 97 250 998
22 41 91 994
50 72 159 995
2 34 126 997
62 8 236 994
97 19 20 994
23 21 233 994
97 19 222 990
72 48 183 996
3 13 7 1000
30 37 139 993
68 66 39 995
40 6 67 994
71 52 82 997
42 89 135 993
2 34 122 999
37 4 13 991
57 96 75 994
80 46 38 997
14 97 200 992
99 81 122 998
36 94 22 992
18 27 196 994
50 72 210 990
38 58 245 998
51 50 21 995
50 72 224 994
52 22 4 997
91 32 39 1000
57 96 213 991
47 16 239 999
65 45 154 991
13 29 240 990
7 59 56 998
9 28 160 998
65 45 37 999
92 82 212 992
27 69 150 995
10 73 17 991
39 44 197 998
85 47 147 998
20 3 42 997
6 31 233 993
79 91 225 1000
79 91 56 992
86 85 219 995
65 45 152 998
1 68 131 991
20 3 100 998
93 42 142 999
71 52 82 999
99 81 167 999
53 63 172 996
17 55 49 994
9 28 117 997
92 82 223 1000
61 71 29 996
11 61 92 995
95 88 84 996
30 37 135 996
42 89 100 991
6 31 232 1000
50 72 120 999
71 52 182 996
90 39 2 994
24 9 170 997
89 83 109 990
42 89 48 996
59 5 131 993
30 37 141 1000
42 89 192 1000
93 42 123 996
10 73 62 990
48 11 119 996
56 36 49 996
99 81 77 996
66 77 219 999
65 45 232 993
86 85 149 994
1 68 150 1000
21 40 187 1000
4 90 49 991
98 92 133 998
79 91 106 997
51 50 62 996
37 4 234 996
90 39 179 993
99 81 192 993
49 2 159 994
56 36 110 996
84 62 52 993
79 91 14 996
25 7 84 1000
68 66 115 995
23 21 136 991
9 28 104 998
59 5 146 995
24 9 63 999
47 77 10 6
20 3 80 999
46 49 198 994
33 10 103 993
1 68 48 993
3 13 187 996
13 29 220 997
25 7 179 990
45 14 79 994
67 25 51 998
11 61 235 997
63 93 184 992
76 75 195 995
59 5 242 996
69 12 120 999
62 8 162 999
12 60 59 997
42 89 102 996
69 12 91 992
91 32 136 997
35 58 218 1000
63 93 195 1000
24 9 76 994
50 72 147 993
56 36 195 1000
12 60 119 990
60 26 100 999
48 11 85 992
12 60 177 995
68 66 225 992
1 68 245 991
97 19 20 998
24 9 51 991
94 54 20 994
57 96 37 995
11 61 134 990
72 48 38 993
11 61 76 998
38 67 46 992
8 43 19 999
47 16 193 997
72 48 131 999
68 66 230 1000
71 52 49 1000
72 48 183 999
36 94 165 998
57 96 164 997
58 30 194 997
21 40 128 998
16 38 10 1000
7 59 27 995
21 40 156 995
26 24 15 1000
20 3 208 992
28 53 188 991
10 73 13 1000
94 54 234 996
53 63 50 997
39 44 216 990
84 62 41 997
66 77 83 990
16 38 80 1000
52 22 182 997
9 28 204 995
83 76 102 990
53 63 177 997
51 50 242 994
24 9 93 999
70 99 29 996
62 8 59 1000
73 98 95 998
88 33 45 991
47 16 120 994
20 3 13 992
9 28 181 999
39 44 8 990
7 59 126 990
38 67 215 1000
96 70 205 995
86 85 29 990
75 84 123 995
93 42 54 993
96 70 73 993
72 48 8 993
6 31 53 994
69 12 62 993
40 6 116 995
58 30 8 998
41 20 105 1000
39 44 97 998
2 34 137 990
37 4 249 1000
4 90 237 999
75 84 238 998
53 63 102 1000
22 41 91 998
77 80 17 990
57 96 166 993
41 20 145 996
69 12 8 996
5 74 232 996
83 76 152 990
39 44 245 995
84 62 107 995
92 82 233 991
42 89 43 1000
70 99 86 994
40 6 169 994
59 5 230 994
92 82 8 999
92 82 240 1000
84 62 31 993
10 73 229 996
85 47 162 997
82 51 37 997
49 2 222 996
40 6 184 991
67 25 236 990
34 64 19 990
50 72 205 999
89 83 139 990
88 33 116 990
18 27 239 993
20 3 227 998
10 60 118 992
80 46 124 998
69 12 15 991
26 24 135 991
30 37 183 994
91 68 184 993
90 39 219 999
62 8 23 997
90 39 101 992
91 32 250 1000
57 96 222 994
71 54 112 4
21 40 5 999
40 6 143 991
12 60 133 996
89 83 80 998
78 87 42 990
73 98 31 999
63 93 62 990
92 82 57 992
98 92 91 996
61 71 106 998
95 88 231 992
13 29 28 993
39 44 15 994
40 6 182 995
92 82 48 990
57 96 54 997
52 22 108 998
43 17 56 995
46 49 224 999
2 34 222 993
73 98 234 995
20 3 13 993
99 81 135 996
20 3 190 993
60 26 116 994
82 51 46 995
34 64 232 990
87 57 47 991
54 78 44 998
51 50 221 990
52 22 171 999
18 27 205 990
93 42 129 995
75 84 99 996
64 18 42 990
35 58 230 991
76 75 142 990
76 75 135 997
27 69 242 991
98 92 16 997
17 55 203 1000
31 15 156 990
6 31 165 990
20 3 177 992
34 64 46 992
72 48 77 998
50 72 58 1000
62 8 230 998
71 52 7 992
62 8 237 991
16 35 220 996
83 76 88 993
20 3 111 993
61 71 228 999
80 46 185 1000
13 29 151 998
12 60 141 994
7 59 38 992
20 3 53 997
42 89 112 994
18 27 210 990
37 4 161 998
77 80 108 998
68 66 177 1000
68 66 242 997
51 50 201 991
25 7 66 992
6 31 188 998
82 51 55 999
61 71 18 997
44 95 24 997
84 62 172 991
57 96 160 994
7 59 159 992
57 96 124 991
58 30 84 993
22 41 40 997
2 34 209 991
77 80 26 994
61 83 34 998
68 66 59 995
32 35 84 992
2 34 151 997
10 73 40 993
36 94 208 998
53 63 174 996
2 34 88 1000
26 24 248 997
4 90 233 999
73 98 204 996
74 23 224 992
89 83 125 996
10 73 111 1000
7 59 201 998
28 53 152 1000
75 84 90 993
83 76 82 996
76 75 95 996
82 51 132 994
76 75 175 992
7 59 134 994
64 18 92 998
21 40 138 992
61 71 206 996
39 44 79 996
26 24 95 997
65 45 84 992
33 10 3 999
90 39 81 991
14 97 81 998
35 58 218 997
97 19 202 993
87 57 243 996
5 74 150 999
35 58 246 998
9 28 212 993
16 38 34 992
51 50 71 1000
35 58 64 997
80 46 182 999
59 5 191 992
70 99 104 998
21 40 154 1000
40 6 235 996
85 47 170 997
48 11 203 1000
60 26 106 996
44 95 6 997
52 22 199 998
49 2 198 999
36 94 214 992
54 78 132 998
98 92 60 1000
19 56 27 999
72 48 31 997
54 78 185 996
4 90 30 991
88 33 13 999
18 27 5 992
59 5 232 990
65 45 86 992
89 83 64 994
79 91 116 1000
79 91 170 996
44 95 24 1000
64 18 248 992
68 66 101 999
51 50 224 997
77 80 22 994
48 11 227 995
98 92 63 1000
76 75 4 995
79 91 79 993
18 27 70 1000
37 4 73 1000
62 8 214 999
5 74 175 993
19 56 151 1000
42 89 141 994
86 85 120 996
94 54 76 999
34 64 118 990
67 25 49 998
28 53 160 990
98 92 219 993
62 8 103 991
28 53 45 996
74 23 216 992
98 92 175 994
51 50 152 1000
73 98 65 998
11 61 240 991
55 100 134 996
53 63 185 1000
50 97 183 10
66 77 157 999
99 81 159 998
51 50 67 995
65 45 162 990
23 21 191 993
50 72 34 991
30 37 166 997
65 45 103 998
88 33 111 995
6 31 200 999
10 73 138 990
90 39 173 995
33 10 79 997
10 73 227 996
84 62 168 993
11 61 149 999
6 31 250 1000
17 55 250 996
35 58 55 993
66 77 97 992
39 44 107 991
65 45 116 992
12 60 195 992
91 32 135 991
39 44 243 997
94 54 68 997
38 67 160 998
35 58 103 995
68 66 195 990
94 54 232 990
96 70 122 994
95 27 218 1000
25 7 18 999
69 12 96 996
73 98 208 998
5 74 233 990
93 42 31 993
78 87 48 994
7 59 130 1000
90 39 89 992
36 94 215 1000
53 63 40 993
98 92 127 997
50 72 89 997
3 13 116 993
73 98 24 998
87 57 207 995
67 25 195 990
48 11 53 995
58 30 83 995
37 4 196 997
47 16 119 992
2 34 15 996
3 13 136 993
94 54 218 997
13 29 25 990
31 15 132 996
84 22 209 5
92 82 189 994
22 41 187 997
24 9 130 993
33 10 128 998
28 53 152 999
98 92 180 993
38 67 126 995
59 5 156 990
85 47 10 998
39 44 105 1000
62 8 111 993
59 5 1 995
1 68 240 999
23 21 40 991
35 58 149 992
93 42 8 992
70 99 198 995
34 64 124 995
66 77 123 995
38 67 33 993
61 71 221 1000
39 44 85 992
39 44 134 992
65 45 44 994
41 20 84 994
55 99 212 992
14 97 98 997
93 42 230 998
23 21 160 993
99 81 89 999
20 3 194 996
35 58 26 998
13 29 241 999
3 13 204 1000
99 81 70 1000
77 80 195 993
37 4 65 1000
15 65 211 999
84 62 244 995
19 56 137 994
64 18 190 991
73 98 197 998
44 95 177 994
24 9 182 997
34 64 158 995
94 54 73 990
43 17 47 992
58 30 190 993
57 96 201 991
1 68 100 990
9 28 14 991
24 9 106 992
21 40 122 997
97 19 145 991
90 39 109 999
32 35 82 992
63 93 116 997
44 95 237 990
94 54 30 994
64 18 228 996
1 68 75 997
52 22 140 994
93 42 64 1000
69 12 211 995
20 3 168 997
69 12 217 998
17 55 56 990
76 75 88 992
89 56 116 1000
36 94 122 998
90 39 197 1000
21 40 247 996
14 97 30 998
73 98 134 1000
41 20 235 996
48 11 52 998
90 39 68 991
46 49 184 992
56 36 146 995
48 11 165 997
83 76 222 991
30 37 115 996
17 55 113 995
69 12 56 997
73 98 221 1000
73 98 43 993
77 80 81 992
39 44 89 993
80 46 98 991
55 100 26 996
76 75 52 998
74 23 36 995
52 22 33 999
30 37 35 990
30 37 96 993
16 38 88 991
43 17 234 996
52 22 75 996
68 66 127 991
15 65 240 993
25 7 111 995
97 19 57 995
67 25 16 1000
73 98 15 999
92 82 143 991
71 52 109 997
53 63 190 991
92 82 220 994
87 57 2 999
58 30 165 996
49 2 196 991
92 82 173 991
42 89 187 993
94 54 122 990
93 42 39 998
69 12 47 999
58 30 173 995
43 17 248 994
83 76 60 1000
38 67 37 994
90 39 186 991
19 56 6 997
98 92 179 994
28 53 222 995
63 93 29 990
49 2 111 991
68 66 179 993
90 39 44 997
67 49 185 2
10 73 139 999
92 82 28 992
41 20 118 990
59 5 129 990
95 88 196 996
18 27 183 1000
75 84 242 993
72 48 180 990
45 14 58 993
41 20 123 998
49 2 57 993
60 26 120 992
84 62 167 999
84 62 22 997
56 36 65 997
44 95 203 992
98 92 207 993
15 98 241 996
39 44 182 998
2 34 129 998
95 88 223 994
42 89 178 1000
13 29 65 997
72 48 99 999
34 64 1 990
30 37 224 992
23 21 123 995
23 21 175 993
35 58 172 991
48 11 64 997
71 52 106 990
34 64 51 993
77 80 24 996
96 70 182 992
84 62 87 997
37 4 4 998
98 92 90 991
32 35 5 996
96 70 61 1000
12 60 124 999
37 4 226 991
27 69 99 993
48 11 52 997
26 24 77 995
21 40 11 998
75 84 134 999
96 70 36 992
99 81 226 992
85 47 156 991
33 10 176 993
86 85 192 1000
47 16 145 990
25 7 168 999
50 72 122 992
63 93 200 992
22 41 236 994
24 9 104 993
15 65 228 992
15 65 35 991
79 91 160 992
6 31 24 992
86 85 147 990
42 89 225 995
87 57 238 990
30 37 33 993
47 16 246 998
16 38 64 994
94 54 176 990
3 13 63 995
9 28 242 999
18 27 113 994
65 45 42 990
99 81 249 997
63 93 222 996
98 92 21 997
62 8 162 999
75 84 4 994
77 80 6 999
4 90 247 991
17 55 171 992
31 15 117 995
96 70 246 1000
95 88 106 998
52 22 77 990
99 81 141 998
56 36 69 997
76 75 176 995
68 66 113 992
32 35 236 1000
91 32 44 1000
25 2 152 10
72 48 31 997
72 48 10 998
9 28 173 992
53 63 12 999
11 61 92 998
27 69 75 996
90 39 188 995
61 71 138 996
76 75 34 997
1 68 20 991
31 15 212 999
73 98 207 996
99 81 129 1000
94 54 245 1000
8 43 170 997
33 10 74 999
58 30 242 990
79 91 134 998
40 6 182 998
18 27 142 992
74 23 208 992
96 70 147 990
68 66 77 992
84 62 215 995
89 83 220 995
21 40 45 990
38 67 26 992
11 61 240 998
51 50 141 993
67 25 184 996
60 26 244 998
82 51 145 993
19 56 182 994
10 73 136 991
22 41 90 999
40 60 192 2
57 96 139 993
32 35 6 997
86 85 153 991
10 73 40 992
6 31 103 994
98 92 11 994
4 90 85 991
28 53 187 997
73 98 33 1000
66 77 56 998
26 24 142 992
32 35 124 1000
10 73 186 999
3 13 71 992
93 42 202 994
64 18 165 991
10 73 19 997
96 70 186 994
36 94 198 1000
33 10 209 993
63 93 79 999
3 13 162 999
65 45 230 999
92 82 62 1000
1 68 123 999
3 13 76 993
40 6 214 991
2 34 80 991
16 38 100 992
2 34 239 996
2 34 55 995
5 74 193 1000
76 75 134 999
98 92 112 990
50 72 54 992
69 12 91 993
51 50 126 995
65 45 200 996
19 56 180 998
17 55 208 995
31 15 47 997
16 38 9 993
7 59 200 991
62 8 77 997
32 35 223 990
62 8 54 992
94 54 116 998
88 33 140 1000
51 50 24 997
14 97 35 990
46 49 194 992
20 3 243 995
27 69 78 994
35 58 77 993
33 10 129 992
49 2 89 996
78 87 61 990
58 30 33 1000
82 51 204 997
87 57 59 997
65 45 73 990
70 99 242 997
73 98 136 996
91 32 159 998
3 13 100 999
97 19 38 996
44 95 197 992
28 53 218 997
56 36 34 991
65 45 116 995
19 56 88 993
35 58 19 997
59 5 163 993
40 6 26 995
33 10 118 999
96 70 180 991
27 69 19 993
46 49 206 995
82 51 44 991
94 54 222 999
69 12 139 993
92 82 194 995
53 63 194 994
27 69 161 997
91 32 228 995
26 24 241 1000
92 82 42 990
41 20 154 990
51 50 140 1000
92 82 158 993
55 100 129 998
8 43 204 994
20 3 157 990
14 97 42 995
51 50 209 995
42 89 118 997
19 56 86 990
13 29 188 998
9 28 208 995
14 97 149 999
60 26 90 999
40 6 204 999
19 56 9 998
79 91 132 1000
40 6 36 1000
98 92 66 1000
38 67 229 994
92 82 13 1000
70 3 98 990
3 43 7 999
70 99 37 998
71 52 208 997
84 62 138 1000
10 73 200 999
3 13 193 992
73 98 202 995
85 47 112 993
21 40 178 999
7 59 122 991
80 46 187 991
27 69 128 995
42 89 22 1000
45 14 63 991
60 26 38 995
4 90 54 999
13 29 169 994
66 77 214 997
93 42 47 994
14 97 166 991
19 56 104 998
10 73 160 993
70 99 212 999
98 92 246 991
90 39 11 997
73 98 129 996
56 36 67 996
6 31 97 992
33 10 4 991
19 56 78 990
8 43 129 991
69 12 188 999
42 89 5 998
84 62 233 1000
91 32 6 995
91 32 124 1000
41 20 246 999
16 38 144 999
39 44 70 996
51 50 167 997
74 23 15 997
3 13 170 996
7 59 108 994
30 37 230 996
26 24 135 993
46 49 224 995
93 42 19 995
43 17 177 992
41 20 204 990
28 53 136 991
13 29 75 990
77 80 239 996
25 37 17 997
34 64 159 992
82 51 70 995
65 45 144 993
55 29 184 2
66 77 243 991
61 71 91 991
21 40 188 991
59 5 22 993
28 53 180 996
2 34 57 993
77 80 58 990
33 10 120 999
52 22 132 999
27 69 189 997
36 94 122 998
11 61 166 990
19 56 60 990
65 45 241 999
34 64 49 994
2 34 59 994
20 3 159 995
67 25 149 991
75 84 164 995
80 46 109 996
64 18 205 999
21 40 33 998
80 46 134 991
76 75 31 999
85 47 77 999
17 55 230 990
47 16 175 990
68 66 143 994
38 67 45 999
59 5 232 992
74 23 53 992
36 94 160 992
13 29 25 993
17 55 73 993
90 39 20 997
52 22 242 993
76 75 248 998
76 75 107 996
10 73 217 999
15 65 166 993
93 42 58 999
71 52 81 997
14 97 144 992
49 2 133 999
57 96 194 990
67 25 30 1000
31 15 234 994
75 84 89 991
80 16 59 991
43 17 81 990
79 91 190 996
28 53 201 997
73 98 148 994
65 45 192 990
6 31 110 992
21 40 226 997
25 7 22 992
45 14 185 998
91 32 206 991
47 16 230 996
45 14 144 998
19 56 249 993
76 75 11 990
12 60 108 996
45 14 66 994
47 16 64 997
4 90 125 996
75 84 147 999
44 95 88 999
61 71 204 990
6 31 95 1000
82 51 204 999
35 58 157 990
73 26 25 994
8 43 152 996
10 73 165 997
33 12 239 994
10 6 202 6
75 84 1 997
60 26 210 996
84 62 10 1000
75 84 67 996
25 7 153 992
33 10 138 994
4 90 42 1000
63 93 94 993
69 12 19 994
12 60 92 993
97 19 177 998
16 38 37 993
32 35 249 996
95 88 59 995
57 96 8 998
96 70 139 1000
61 71 175 995
67 25 181 996
20 3 46 995
92 82 77 997
5 74 54 998
49 2 17 1000
36 94 21 993
69 12 167 997
9 28 142 994
13 29 196 996
44 95 49 990
70 99 8 998
30 37 167 996
87 57 125 994
75 84 128 993
47 16 180 993
2 34 57 994
88 33 105 1000
34 64 199 995
59 5 196 994
7 59 219 994
74 23 187 990
15 65 94 1000
99 81 91 990
46 49 205 991
27 69 13 993
80 46 19 993
55 100 8 992
78 87 217 994
95 88 71 999
30 37 23 990
56 36 107 994
45 14 245 998
69 12 20 998
84 62 97 991
94 54 205 991
34 64 194 995
3 13 112 994
63 93 206 991
9 28 80 990
85 47 148 997
66 77 175 995
64 18 25 997
9 28 227 990
28 53 122 999
38 67 179 997
27 69 13 991
34 7 156 990
3 13 155 994
23 21 88 998
32 35 160 990
18 27 111 999
61 71 205 994
42 89 124 993
99 81 217 991
47 16 150 992
8 43 187 994
48 11 166 995
53 63 8 999
10 73 143 997
91 32 73 994
46 49 215 994
47 16 211 992
86 85 241 994
44 95 93 1000
93 42 140 996
13 29 136 998
31 15 132 998
69 12 136 994
46 49 136 993
79 91 178 993
89 83 157 991
23 21 176 995
63 93 24 990
45 14 99 992
36 94 25 997
49 2 87 994
61 71 1 990
7 59 149 994
91 32 121 994
33 40 109 8
11 61 155 998
75 84 235 991
80 46 175 999
75 84 42 996
38 67 56 995
42 89 249 997
2 34 199 997
37 4 21 997
98 92 105 997
7 59 248 991
83 76 168 998
17 55 157 995
15 65 38 1000
62 8 79 998
14 63 170 4
78 87 55 999
87 57 4 995
21 40 134 991
85 47 25 1000
33 10 96 997
62 8 175 993
23 21 164 990
95 88 81 997
37 4 55 990
83 76 63 996
42 89 206 995
80 46 153 996
16 38 168 996
85 47 38 1000
45 14 113 992
32 35 168 990
66 77 206 991
36 94 83 995
13 29 249 998
68 66 199 992
58 30 248 995
79 91 174 992
45 14 248 994
74 23 64 998
41 20 202 992
76 75 61 991
51 50 206 991
54 78 18 993
30 37 193 995
17 55 201 995
69 12 202 996
98 92 10 995
35 58 6 994
75 52 157 9
